iter	Logloss
0	0.6557122653
1	0.6244833879
2	0.5982603959
3	0.5743321952
4	0.5519876542
5	0.5320271242
6	0.5146486472
7	0.4996967841
8	0.4876142589
9	0.4767843338
10	0.4666662638
11	0.4580631074
12	0.4505590573
13	0.4432743553
14	0.4369247426
15	0.4310058221
16	0.42591452
17	0.4211038899
18	0.416805919
19	0.4126282409
20	0.4091340473
21	0.4061075783
22	0.4030114049
23	0.4003132294
24	0.3979888444
25	0.3954928582
26	0.39343675
27	0.3914393744
28	0.3896143042
29	0.3878874901
30	0.386383331
31	0.3852085789
32	0.3838805788
33	0.3828537158
34	0.3819328926
35	0.3809383973
36	0.379813609
37	0.3788851859
38	0.37814782
39	0.3773311039
40	0.3767247795
41	0.3761357475
42	0.3754977836
43	0.3750043941
44	0.3745511355
45	0.3739435321
46	0.3735059176
47	0.3728525702
48	0.3724120101
49	0.3720447668
50	0.3716876791
51	0.3711655709
52	0.3708323262
53	0.3705581692
54	0.3701319832
55	0.3698849462
56	0.3694714158
57	0.3691838071
58	0.3689576612
59	0.3686987869
60	0.3684743876
61	0.3681149297
62	0.3678119723
63	0.3676139279
64	0.3674016544
65	0.367214505
66	0.3670358874
67	0.3668474997
68	0.3666999249
69	0.3665560356
70	0.3663327061
71	0.366138773
72	0.3660171184
73	0.3658319168
74	0.3657148044
75	0.3655906854
76	0.365478128
77	0.3653576253
78	0.3652381121
79	0.3651341321
80	0.3650364607
81	0.3649527395
82	0.3648008838
83	0.3646619165
84	0.3645106019
85	0.3643945256
86	0.3643149633
87	0.3642367214
88	0.3641569779
89	0.3640847201
90	0.3640162332
91	0.363915513
92	0.3638121304
93	0.3637490558
94	0.3636731437
95	0.3635992005
96	0.3635256318
97	0.3634681782
98	0.3633707485
99	0.3633065906
100	0.3632148529
101	0.3631476043
102	0.363068014
103	0.3630137768
104	0.3629417209
105	0.3628397117
106	0.3627363586
107	0.3626787481
108	0.3626290977
109	0.3625849525
110	0.3625242495
111	0.3624815289
112	0.3624302544
113	0.3623837013
114	0.3623240505
115	0.3622788508
116	0.3622323425
117	0.3621306348
118	0.3620598413
119	0.362012723
120	0.3619622403
121	0.361908542
122	0.361855082
123	0.3618171522
124	0.3617796498
125	0.3617413779
126	0.3616978831
127	0.3616578409
128	0.3616111082
129	0.3615743392
130	0.3614889605
131	0.361455296
132	0.3613910377
133	0.3613434732
134	0.3612968796
135	0.3612605962
136	0.3612179898
137	0.3611783471
138	0.3611375657
139	0.3610989005
140	0.3610425776
141	0.3610136818
142	0.3609841469
143	0.3609528132
144	0.3608974355
145	0.3608693792
146	0.3608398534
147	0.3608142126
148	0.3607797589
149	0.3607588004
150	0.3607242424
151	0.3606905332
152	0.3606297031
153	0.3605780553
154	0.360531232
155	0.3605054397
156	0.3604684726
157	0.36044044
158	0.360415177
159	0.3603799133
160	0.360363562
161	0.3603211315
162	0.3602399449
163	0.3602048156
164	0.3601876171
165	0.3601516225
166	0.3601261455
167	0.360100515
168	0.3600681483
169	0.3600467212
170	0.3600045576
171	0.3599763752
172	0.3599552347
173	0.3599225513
174	0.3598978956
175	0.3598655754
176	0.3598416001
177	0.3598101359
178	0.3597770004
179	0.3597493179
180	0.3597349337
181	0.359689753
182	0.3596711188
183	0.3596547748
184	0.3596254026
185	0.3595998577
186	0.3595829032
187	0.3595466572
188	0.3595027772
189	0.3594812538
190	0.359458824
191	0.3594348056
192	0.3593873537
193	0.3593704601
194	0.3593531713
195	0.3593338349
196	0.3593111051
197	0.35928751
198	0.3592662486
199	0.3592484362
200	0.3592080517
201	0.3591877615
202	0.3591653896
203	0.359150802
204	0.3591205864
205	0.3590819336
206	0.3590683714
207	0.3590484846
208	0.3590220282
209	0.3590037729
210	0.3589751865
211	0.3589591838
212	0.3589382268
213	0.3589057766
214	0.3588829671
215	0.3588631067
216	0.3588231791
217	0.3587957869
218	0.3587786297
219	0.3587571903
220	0.3587367712
221	0.3587171817
222	0.3586849905
223	0.3586672784
224	0.3586429668
225	0.3586218217
226	0.3586007046
227	0.358576146
228	0.3585448995
229	0.3585291558
230	0.3585103547
231	0.3584965375
232	0.3584789659
233	0.3584478639
234	0.358430985
235	0.3584079657
236	0.3583937578
237	0.3583802859
238	0.3583592586
239	0.3583371824
240	0.3582952348
241	0.3582760312
242	0.3582594133
243	0.3582466434
244	0.3582343939
245	0.3582028993
246	0.3581739294
247	0.3581586371
248	0.358139523
249	0.3581123173
250	0.3580833773
251	0.3580600296
252	0.3580431399
253	0.3580255175
