iter	Passed	Remaining
0	38	1918821
1	66	1667229
2	96	1600351
3	123	1545329
4	151	1515243
5	180	1500892
6	208	1491110
7	237	1481122
8	263	1461988
9	292	1459950
10	319	1453650
11	346	1445328
12	376	1447867
13	406	1450754
14	432	1442141
15	460	1438842
16	486	1431324
17	513	1425279
18	541	1424946
19	570	1425814
20	597	1422910
21	622	1415239
22	649	1410639
23	674	1405497
24	700	1399778
25	726	1396627
26	753	1394178
27	782	1396230
28	808	1392519
29	833	1388365
30	859	1386036
31	883	1379463
32	909	1377202
33	936	1376065
34	961	1372538
35	987	1370448
36	1012	1367208
37	1040	1368012
38	1065	1365524
39	1091	1363308
40	1118	1363092
41	1143	1360420
42	1171	1360847
43	1197	1359762
44	1222	1357585
45	1256	1364657
46	1312	1395144
47	1344	1399095
48	1372	1398813
49	1396	1395557
50	1420	1391475
51	1448	1391105
52	1474	1389741
53	1500	1387549
54	1525	1385470
55	1548	1381384
56	1575	1380424
57	1600	1378522
58	1624	1375348
59	1650	1373988
60	1674	1370615
61	1695	1365616
62	1720	1363698
63	1745	1361946
64	1768	1358970
65	1790	1354496
66	1814	1351946
67	1839	1350808
68	1862	1348042
69	1884	1343901
70	1910	1343438
71	1934	1341320
72	1957	1339064
73	1980	1336509
74	2006	1335675
75	2031	1334211
76	2058	1334348
77	2082	1332985
78	2107	1331784
79	2130	1329663
80	2154	1327507
81	2177	1325372
82	2200	1323141
83	2226	1322936
84	2252	1322712
85	2274	1320321
86	2301	1320573
87	2326	1319809
88	2353	1319620
89	2377	1318414
90	2399	1316244
91	2423	1314577
92	2447	1313676
93	2469	1311179
94	2492	1309605
95	2516	1308030
96	2542	1307946
97	2566	1306617
98	2591	1306053
99	2617	1306124
100	2638	1303501
101	2661	1301967
102	2685	1301041
103	2711	1301128
104	2740	1302380
105	2768	1303324
106	2795	1303353
107	2823	1304265
108	2848	1303863
109	2876	1304534
110	2901	1303918
111	2923	1302152
112	2947	1301366
113	2971	1300445
114	2997	1300355
115	3020	1298893
116	3046	1298738
117	3071	1298250
118	3099	1299017
119	3124	1298600
120	3149	1298217
121	3173	1297539
122	3197	1296643
123	3220	1295218
124	3243	1294274
125	3266	1292879
126	3290	1292072
127	3315	1291871
128	3341	1291624
129	3365	1291137
130	3389	1290465
131	3414	1289809
132	3437	1288810
133	3462	1288369
134	3487	1288086
135	3512	1287760
136	3536	1287061
137	3562	1287231
138	3587	1286876
139	3613	1287016
140	3640	1287237
141	3665	1286852
142	3687	1285796
143	3713	1285550
144	3734	1284130
145	3758	1283327
146	3782	1282925
147	3807	1282583
148	3834	1283059
149	3859	1282575
150	3887	1283352
151	3911	1282652
152	3934	1281818
153	3960	1281756
154	3984	1281413
155	4009	1280975
156	4035	1281242
157	4062	1281535
158	4088	1281740
159	4113	1281418
160	4138	1281069
161	4161	1280204
162	4187	1280177
163	4211	1279658
164	4234	1278917
165	4259	1278786
166	4284	1278448
167	4309	1278152
168	4333	1277706
169	4358	1277422
170	4386	1278280
171	4409	1277511
